review_url,title,body,rating,reviewer,review_date,page
https://www.mouthshut.com/review/blinkit-review-sppqmslouop,Worst Experience,"Worst customer support experience! I made a mistake ordering a data cable and reached out for a replacement right away, but they flatly refused to assist. Save your money and buy from somewhere else.",1,kiranbisht440,2 days ago,1
https://www.mouthshut.com/review/blinkit-review-rploouunuop,Order is not receive,Maine order kiya tha 651 account mein se pese cut Ho Gaya but mujhe Mera order show nahi ho raha hai aur account mein se paise bhi chale gaye aur mujhe aur return bhi nahi mile,1,karunasalekar44,2 days ago,1
https://www.mouthshut.com/review/blinkit-review-slpsupunuop,Rotten fruits and vegetables,We received rotten fruits and vegetables and now they are not refunding the money and not responding like our money is not for this,1,garimaj1510,3 days ago,1
https://www.mouthshut.com/review/blinkit-review-utopopqnuop,"Delayed, cancel and not taking responsibility","Taking much time and they cancelled at 11 of night. now how I can I find the things I need. if they can not deliver, they should not accept it or they must update us once it was placed. I really give them one Star for their current service and irresponsibility.",1,BhargavDmehta,7 days ago,1
https://www.mouthshut.com/review/blinkit-review-rsmqtmqnuop,Expired products,"Placed an order on blinkit but received expired product., its not that am ordering for the first time so based on thw trust on the app did not check for expiry date but when am almost ready to cook tear opened the pack and found it sticky and not in good condition so checked for the expiry date it was expired long back like almost 15days back.when raised the complaint they simply said vl refund the money back what if we have consumed it without paying attention or if someone else was cooking",1,lathasrispengg,7 days ago,1
https://www.mouthshut.com/review/blinkit-review-qounrssmuop,DO NOT BELIEVE THIS BLINKIT:,"Very bad experience with BLINKIT Hello, Yesterday I ordered a AC remote control through their website. The product was delivered within 20 minutes. Unfortunately on opening the battery slot, I found the pins were hanging without any support and I was unable to place the battery. When I called the help line, they are so lethargic and said nothing can be done once delivered. Unless we open the product, how we will know the defect. Foolish policy. Inspite of writing to Grievances cell, nothing happened. I warn people who are blindly believing and buying electronic products. ""WHO HAS TO BELL THIS DIRTY CAT"" Regards, MANOHAR, MOGAPPAIR",1,manobala,13 days ago,1
https://www.mouthshut.com/review/blinkit-review-osrsmurmuop,Recent experience with Blinkit,"Dear All, I would like to share my recent experience with Blinkit and warn everyone to be cautious. Today, I ordered a boAt Airdopes Elite from Blinkit. The product was delivered in damaged packaging. When I raised the issue, the delivery personnel insisted that I accept the damaged package. To my surprise, I was also unable to cancel the order. Even the customer support representative pressured me to accept the delivery despite the damaged packaging. I am sharing this experience to make all my friends and colleagues aware. Please inspect your orders carefully before accepting delivery, and be cautious when purchasing from Blinkit. Regards",1,victoryonevishal,13 days ago,1
https://www.mouthshut.com/review/blinkit-review-ssppnpomuop,Dont buy any one from blinkit,Today I order gift multi color moon I am totally disappointed its looking like 100 rs worthy gift I hate blink it I wont order here after dont purchase any one,1,Jyoti601,15 days ago,1
https://www.mouthshut.com/review/blinkit-review-ollosrmmuop,No return or refund policy,"Do not buy any electronic products from blinkit, if the product is not compatible with your device or do not meet your expectations there is no return or refund.. And since there is no call centre number you will go mad explaining on customer support chat. Very poor and worst experience...",1,nirav1310,16 days ago,1
https://www.mouthshut.com/review/blinkit-review-opsmsotluop,Horrible - will never use blinkit -,Horrible they are  charged  more for delivery and  other charges  han the material acutal cost  was 72 rs   total charge  was rs 152   imagine looting us.  only fools will order from blinkit.  u can fool us once but long term u go down the drain,1,ajaygohil2,20 days ago,1
https://www.mouthshut.com/review/blinkit-review-mquqomqluop,GREAT SERVICE,"I've had a great experience using Blinkit! The delivery is incredibly fast, and the app is easy to navigate. The products are always fresh, well-packaged, and exactly as described. It's very convenient for last-minute grocery needs, and the delivery partners are polite and professional. The service has saved me a lot of time, and I highly recommend Blinkit for quick and hassle-free shopping!",5,priyankadas9466,21 days ago,1
https://www.mouthshut.com/review/blinkit-review-nptplnoluop,Having a great experience,"Recently blinkit has started there service in my area . so happy with there service . on time delivery, large availability of products .",5,deysmritikona825,23 days ago,1
https://www.mouthshut.com/review/blinkit-review-ntrrslnluop,Highly unsatisfactory replies for duplicate produc,"We had ordered a Hamleys football foe our kid , but surprisingly we recd a local duplicate product. Even after sharing images of ordered product alongwith the one delivered, the customer care team just accepted the mistake but refused to change or refund. With time all these are becoming fraud associations with third class customer care. They only give an email option and no call centre option to speak to. Very disappointed",1,tjskhushalani,23 days ago,1
https://www.mouthshut.com/review/blinkit-review-pnopttmluop,Poor reliability,"Please check weight of your orders . I order 1 kg onion and get only 300gms.and tomato 900 gm instead of 1 kg,",1,jsalecha1904,24 days ago,1
https://www.mouthshut.com/review/blinkit-review-stqpuomluop,Timely Delivery but insecure Pack,"Delivers on time but the packaging is not. Torn Packets, in fact ice cream always comes melted, no proper delivery bags provided to the delivery person for Ice creams and Kulfi.",4,dipalid1032,24 days ago,1
https://www.mouthshut.com/review/blinkit-review-pptsstrutop,Well enough but more to be added!!!,The products are timely delivered with good quality and wrong ones are replaced asap.But I wanna request to add medicines also as no such app offers free delivery of medicines even after a total cost of Rs. 500.,4,sneh140709,28 days ago,1
